indekss,iela,ielas numurs,novads,pilsēta,pagasts,ciems
LV-1001,Brīvības iela,98,,Rīga,,
LV-1001,Brīvības iela,99,,Rīga,,
LV-1001,Brīvības iela,100,,Rīga,,
LV-1001,Brīvības iela,100A,,Rīga,,
LV-1001,Brīvības iela,100B,,Rīga,,
LV-1001,Brīvības iela,100C,,Rīga,,
LV-1001,Brīvības iela,101,,Rīga,,
LV-1001,Brīvības iela,102,,Rīga,,
LV-1001,Brīvības iela,103,,Rīga,,
LV-1001,Brīvības iela,104,,Rīga,,
LV-1001,Brīvības iela,104 k-2,,Rīga,,
LV-1001,Brīvības iela,105,,Rīga,,
LV-1001,Brīvības iela,106,,Rīga,,
LV-1001,Brīvības iela,108,,Rīga,,
LV-1001,Brīvības iela,108A,,Rīga,,
LV-1001,Brīvības iela,108B,,Rīga,,
LV-1001,Brīvības iela,109,,Rīga,,
LV-1001,Brīvības iela,109 k-1,,Rīga,,
LV-1001,Brīvības iela,110,,Rīga,,
LV-1001,Brīvības iela,111,,Rīga,,
LV-1001,Brīvības iela,112,,Rīga,,
LV-1001,Brīvības iela,113,,Rīga,,
LV-1001,Brīvības iela,114,,Rīga,,
LV-1001,Brīvības iela,115,,Rīga,,
LV-1001,Brīvības iela,116,,Rīga,,
LV-1001,Brīvības iela,117,,Rīga,,
LV-1001,Brīvības iela,118,,Rīga,,
LV-1001,Brīvības iela,119,,Rīga,,
LV-1001,Brīvības iela,122,,Rīga,,
LV-1001,Brīvības iela,124,,Rīga,,
LV-1001,Brīvības iela,126,,Rīga,,
LV-1001,Brīvības iela,126A,,Rīga,,
LV-1001,Brīvības iela,128,,Rīga,,
LV-1001,Dainas iela,1,,Rīga,,
LV-1001,Dainas iela,1A,,Rīga,,
LV-1001,Dainas iela,3,,Rīga,,
LV-1001,Dainas iela,4,,Rīga,,
LV-1001,Dainas iela,5,,Rīga,,
LV-1001,Dainas iela,6,,Rīga,,
LV-1001,Dainas iela,8,,Rīga,,
LV-1001,Dainas iela,10,,Rīga,,
LV-1001,Dainas iela,12,,Rīga,,
LV-1001,Dainas iela,14,,Rīga,,
LV-1001,Krišjāņa Barona iela,49,,Rīga,,
LV-1001,Krišjāņa Barona iela,51,,Rīga,,
LV-1001,Krišjāņa Barona iela,53,,Rīga,,
LV-1001,Krišjāņa Barona iela,55,,Rīga,,
LV-1001,Krišjāņa Barona iela,59/61,,Rīga,,
LV-1001,Krišjāņa Barona iela,63,,Rīga,,
LV-1001,Krišjāņa Barona iela,66/68,,Rīga,,
LV-1001,Krišjāņa Barona iela,69,,Rīga,,
LV-1001,Krišjāņa Barona iela,70,,Rīga,,
LV-1001,Krišjāņa Barona iela,71,,Rīga,,
LV-1001,Krišjāņa Barona iela,72,,Rīga,,
LV-1001,Krišjāņa Barona iela,72A,,Rīga,,
LV-1001,Krišjāņa Barona iela,73,,Rīga,,
LV-1001,Krišjāņa Barona iela,74,,Rīga,,
LV-1001,Krišjāņa Barona iela,75,,Rīga,,
LV-1001,Krišjāņa Barona iela,76,,Rīga,,
LV-1001,Krišjāņa Barona iela,77,,Rīga,,
LV-1001,Krišjāņa Barona iela,78,,Rīga,,
LV-1001,Krišjāņa Barona iela,78A,,Rīga,,
LV-1001,Krišjāņa Barona iela,78B,,Rīga,,
LV-1001,Krišjāņa Barona iela,78C,,Rīga,,
LV-1001,Krišjāņa Barona iela,79,,Rīga,,
LV-1001,Krišjāņa Barona iela,80,,Rīga,,
LV-1001,Krišjāņa Barona iela,81,,Rīga,,
LV-1001,Krišjāņa Barona iela,82,,Rīga,,
LV-1001,Krišjāņa Barona iela,82A,,Rīga,,
LV-1001,Krišjāņa Barona iela,83,,Rīga,,
LV-1001,Krišjāņa Barona iela,85,,Rīga,,
LV-1001,Krišjāņa Barona iela,87,,Rīga,,
LV-1001,Krišjāņa Barona iela,88,,Rīga,,
LV-1001,Krišjāņa Barona iela,88 k-1,,Rīga,,
LV-1001,Krišjāņa Barona iela,88 k-2,,Rīga,,
LV-1001,Krišjāņa Barona iela,89/91,,Rīga,,
LV-1001,Krišjāņa Barona iela,90,,Rīga,,
LV-1001,Krišjāņa Barona iela,92,,Rīga,,
LV-1001,Krišjāņa Barona iela,92A,,Rīga,,
LV-1001,Krišjāņa Barona iela,93,,Rīga,,
LV-1001,Krišjāņa Barona iela,94,,Rīga,,
LV-1001,Krišjāņa Barona iela,94A,,Rīga,,
LV-1001,Krišjāņa Barona iela,96/98,,Rīga,,
LV-1001,Krišjāņa Barona iela,98,,Rīga,,
LV-1001,Krišjāņa Barona iela,100,,Rīga,,
LV-1001,Krišjāņa Barona iela,102,,Rīga,,
LV-1001,Krišjāņa Barona iela,104,,Rīga,,
LV-1001,Krišjāņa Barona iela,106,,Rīga,,
LV-1001,Krišjāņa Barona iela,108,,Rīga,,
